"Other Crops: Number of Bearing Trees/Hills/Vines, by Region and by Province, 1990-2018"

"Crop","Geolocation","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"Cacao","....Bulacan",1000,1050,1050,1050,1050,1050,1050,1050,1000,1050,1680,1680,2000,2200,2300,2500,2500,1900,1500,1109,970,960,800,800,800,800,800,900,900
"Cacao","....Nueva Ecija",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Cacao","....Pampanga",1750,1220,1220,1520,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Cacao","....Tarlac",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Cacao","....Zambales",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,444,444,596
"Cacao","..REGION IV-A (CALABARZON)",80680,78510,78510,79420,79463,76348,74301,74293,75270,78743,76953,76958,76958,76958,76725,62845,58570,48496,46496,46486,44486,43906,43926,43946,43746,43196,43280,45261,56752
"Cacao","....Batangas",2830,3010,3010,3010,3010,2892,2892,2890,2514,2514,2765,2770,2770,2770,2790,2795,2850,2850,2850,2850,2850,2280,2280,2280,2100,2100,1950,2500,2800
"Cacao","....Cavite",2670,2740,2740,3660,3703,3558,3558,3558,3558,3558,3520,3520,3520,3520,3520,3500,3520,3066,3066,3066,3066,3066,3066,3066,3066,3066,3300,3511,3701
"Cacao","....Laguna",720,720,720,720,720,692,692,685,678,671,668,668,668,668,660,660,600,580,580,570,570,560,580,600,580,550,550,570,596
"Cacao","....Quezon",72330,69910,69910,69900,69900,67160,67160,67160,68520,72000,70000,70000,70000,70000,69755,55890,51600,42000,40000,40000,38000,38000,38000,38000,38000,37480,37480,38680,46695
"Cacao","....Rizal",2130,2130,2130,2130,2130,2046,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2960
"Cacao","..MIMAROPA REGION",21990,22790,23240,29530,29663,28500,28500,28584,28457,29308,28974,27225,26635,24243,24248,23365,22418,25315,26701,29204,31811,31726,31579,30886,33938,33643,32210,32179,34420
"Cacao","....Marinduque",1360,1660,1660,1620,1620,1556,1556,1587,1587,1588,1588,1588,1588,1588,1588,1588,1584,1580,1580,1580,1580,1580,1596,1611,1692,1692,1567,1536,1582
"Cacao","....Occidental Mindoro",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Cacao","....Oriental Mindoro",14500,14500,14950,21280,21250,20417,20417,20417,20290,20290,20286,18537,18147,15735,15735,14897,14199,14100,13986,13492,12945,12560,12403,11095,11095,10790,9800,9800,9800
"Cacao","....Palawan",1200,1200,1200,1200,1200,1153,1153,1153,1153,2000,2100,2100,2100,2100,2100,2050,2000,5000,6500,9500,12700,13000,13000,13600,16800,16800,17200,17200,19800
"Cacao","....Romblon",4930,5430,5430,5430,5593,5374,5374,5427,5427,5430,5000,5000,4800,4820,4825,4830,4635,4635,4635,4632,4586,4586,4580,4580,4351,4361,3643,3643,3238
"Cacao","..REGION V (BICOL REGION)",77330,77240,76620,74144,68185,68024,67431,67771,67073,66089,65754,65754,67399,67797,68090,60166,59053,56836,56836,56840,56837,56825,57100,57120,57202,54926,54946,55546,62579
"Cacao","....Albay",27650,27650,27330,27320,27320,27255,27255,27300,27500,28342,27500,27500,27500,27500,27500,27500,27500,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,34000
"Cacao","....Camarines Norte",1560,1560,1460,1460,1518,1514,1514,1350,1056,1045,1545,1545,1545,1548,1570,1724,1740,1742,1742,1743,1740,1725,1700,1720,1754,1758,1758,2063,2063
"Cacao","....Camarines Sur",12770,12730,12730,12560,12563,12533,12533,12909,12525,12393,12393,12393,12393,12393,12325,5510,5510,4119,4119,4122,4122,4125,4125,4125,4150,4170,4170,4170,4200
"Cacao","....Catanduanes",..,..,..,1024,1024,1024,431,453,476,143,150,150,1674,1826,1429,1429,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1406,1406
"Cacao","....Masbate",1790,1740,1540,1540,1540,1536,1536,1536,1536,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Cacao","....Sorsogon",33560,33560,33560,30240,24220,24162,24162,24223,23980,24166,24166,24166,24287,24530,25266,24003,22803,22475,22475,22475,22475,22475,22775,22775,22798,20498,20518,20907,20910
"Cacao","..REGION VI (WESTERN VISAYAS)",125630,124550,123120,122900,134576,137350,80066,78696,73717,73808,74212,74212,61839,60830,60291,58311,57097,56015,55422,53375,51835,51529,50578,50400,45840,45890,46085,47957,55122
"Cacao","....Aklan",15330,15330,14960,14960,26180,26715,26715,26742,27076,27076,27076,27076,15170,15170,15170,15170,15120,15088,15088,14230,14196,14110,13210,13210,4300,4300,4300,4300,4300
"Cacao","....Antique",9780,9120,8770,8770,8990,9174,9174,9174,9128,9119,9137,9137,9090,8871,8421,7233,6075,5421,5041,3852,3736,3716,3665,3665,3600,3600,3600,3600,3322
"Cacao","....Capiz",9050,8840,8840,8820,8908,9090,9000,9000,9000,9000,8989,8989,8989,8889,8850,8700,8694,8694,8600,8600,8600,8400,8400,8400,7600,7600,7725,7875,10000
"Cacao","....Guimaras",..,..,..,1250,1300,1350,1400,1560,1580,1595,1590,1590,1590,1400,1350,1360,1360,1310,1285,1285,1200,1200,1200,1200,1200,1250,1350,1350,6350
"Cacao","....Iloilo",20800,20800,20250,23210,23301,23777,23777,22220,16933,17018,17420,17420,17000,16500,16500,15744,15744,15744,15650,15650,14345,14345,14345,14345,19560,19560,19560,21282,21600
"Cacao","....Negros Occidental",70670,70460,70300,65890,65897,67244,10000,10000,10000,10000,10000,10000,10000,10000,10000,10104,10104,9758,9758,9758,9758,9758,9758,9580,9580,9580,9550,9550,9550
"Cacao","..REGION VII (CENTRAL VISAYAS)",68270,65430,65420,65430,66106,66000,66000,65976,65417,66785,66881,66881,66831,66954,66909,63699,63284,61673,61423,61173,60811,59639,59230,61326,61383,61911,86532,86430,88180
"Cacao","....Bohol",42000,40060,40000,40000,40604,40539,40539,40539,40537,40537,40537,40537,40537,40537,40537,40537,40537,40537,40537,40537,40509,40509,40509,40509,40499,40799,65000,65000,65500
"Cacao","....Cebu",12470,11570,11630,11630,11632,11613,11613,11700,11640,12540,12477,12477,12477,12600,12755,11130,11130,9530,9530,9650,9376,8576,8100,8400,8500,8800,8800,8800,8800
"Cacao","....Negros Oriental",11520,11520,11150,11150,11150,11132,11132,11021,10470,10162,10250,10250,10200,10200,10000,8415,8000,8000,7750,7380,7320,6954,6954,8750,8750,8680,9100,9100,10350
"Cacao","....Siquijor",2280,2280,2640,2650,2720,2716,2716,2716,2770,3546,3617,3617,3617,3617,3617,3617,3617,3606,3606,3606,3606,3600,3667,3667,3634,3632,3632,3530,3530
"Cacao","..REGION VIII (EASTERN VISAYAS)",154000,150570,144270,144830,158265,181967,181050,181211,171737,172648,172648,172648,159014,159857,160863,162191,155887,153147,152450,151449,144281,137358,133548,128553,108316,107013,104033,101277,101103
"Cacao","....Biliran",..,..,..,..,20265,19967,19050,21457,19311,19504,19504,19504,15867,15867,16670,16700,16085,16085,16038,15753,15142,13000,12000,11995,10800,10750,10700,10500,10300
"Cacao","....Eastern Samar",16550,16550,16550,16500,15722,18456,18456,18457,18555,18558,18558,18558,18558,18787,18787,18790,18790,18500,18500,18350,18350,18350,18350,18350,14625,14625,14550,13000,12000
"Cacao","....Leyte",52250,52250,52040,52670,50187,58915,58915,56074,56082,56150,56150,56150,56260,56340,56058,56060,50465,49010,47550,46530,43030,40879,40270,39100,26724,25820,26194,26194,26194
"Cacao","....Northern Samar",38740,36980,32100,32100,30586,35905,35905,35905,35546,35621,35621,35621,35621,36155,36517,37247,37150,37150,37950,39013,39013,39013,39013,39013,39013,39013,35892,35093,36100
"Cacao","....Samar",1370,1320,1320,1320,1258,1476,1476,1599,1599,1599,1599,1599,1599,1599,1722,1722,1725,1730,1740,1745,1746,1740,1745,1745,1629,1390,1385,1385,1410
"Cacao","....Southern Leyte",45090,43470,42260,42240,40248,47247,47247,47719,40644,41216,41216,41216,31109,31109,31109,31672,31672,30672,30672,30058,27000,24376,22170,18350,15525,15415,15312,15105,15099
"Cacao","..REGION IX (ZAMBOANGA PENINSULA)",145410,143790,156750,156750,159286,159286,159286,160576,153851,161283,138075,137915,134871,124440,120369,119025,101418,98730,93464,80964,77764,88700,88170,88005,85785,85715,86686,87716,93077
"Cacao","....Zamboanga del Norte",45100,44760,57730,57730,60045,60045,60045,60639,60639,60639,48375,48375,48859,45869,41567,41567,47086,47100,47100,47100,48400,48400,48560,48560,48560,48560,49531,49531,54558
"Cacao","....Zamboanga del Sur",97070,95920,95920,95920,95920,95920,95920,96550,89791,97223,86700,70097,63280,57520,57700,58000,35000,32350,27000,14500,10000,6300,5760,5500,2580,2570,2570,3600,3614
"Cacao","....Zamboanga Sibugay",..,..,..,..,..,..,..,..,..,..,..,16443,16103,16096,16190,16054,15928,15876,15960,15960,15960,31500,31600,31700,32400,32320,32320,32320,32640
"Cacao","......City of Zamboanga",3240,3110,3100,3100,3321,3321,3321,3387,3421,3421,3000,3000,6629,4955,4912,3404,3404,3404,3404,3404,3404,2500,2250,2245,2245,2265,2265,2265,2265
"Cacao","..REGION X (NORTHERN MINDANAO)",524100,513590,511200,452750,451506,450572,443797,459473,459613,497923,492709,492709,497424,496603,495631,484467,483002,482602,482155,482752,482752,426752,426752,203425,203090,181440,190580,192270,204070
"Cacao","....Bukidnon",440710,435340,433460,376250,376250,376841,376841,400017,400017,442000,441098,441098,441098,441098,441098,441000,441000,441000,441000,441000,441000,385500,385500,160500,160000,138250,147750,148750,149310
"Cacao","....Camiguin",14290,13850,13850,13880,14435,14458,14458,14458,14199,11628,10626,10626,10626,9805,8833,8587,8387,7987,7720,7720,7720,7720,7720,7600,7600,7620,7260,7350,11760
"Cacao","....Lanao del Norte",25360,22960,22450,21180,21182,19572,17697,17697,17785,17785,17785,17785,22500,22500,22500,20080,20080,20080,19900,21500,21500,21000,21000,23220,23220,23000,23000,23000,23000
"Cacao","....Misamis Occidental",26520,24740,24740,24740,22266,22301,22301,22301,22612,22010,18900,18900,18900,18900,18900,10500,10500,10500,10500,10505,10505,10505,10505,10505,10520,10520,10520,11020,11500
"Cacao","....Misamis Oriental",17220,16700,16700,16700,17373,17400,12500,5000,5000,4500,4300,4300,4300,4300,4300,4300,3035,3035,3035,2027,2027,2027,2027,1600,1750,2050,2050,2150,8500
"Cacao","..REGION XI (DAVAO REGION)",3913010,3862050,3829680,3829680,3852491,3702450,3720842,2895491,2870363,2973515,2973515,2924515,2670072,2448075,2641268,2731722,2570134,2538305,2460190,2460216,2460348,2479465,2456645,2449943,2557174,3361883,3397408,3782311,4379568
"Cacao","....Compostela Valley",..,..,..,..,..,..,..,..,..,189680,189680,128352,127486,101989,101989,98960,98960,98228,98228,98228,98228,98961,98961,65980,138764,139464,124624,266800,280975
"Cacao","....Davao del Norte",289100,285300,275480,275480,277688,266120,269669,273219,270815,184287,184287,188090,191852,195670,199280,199731,200528,201241,201842,201868,202456,202976,203864,223843,437793,444817,479511,509562,607491
"Cacao","....Davao del Sur",2495700,2462930,2462900,2462900,2462900,2360304,2360304,1522500,1492050,1492050,1492050,1492050,1492050,1492050,1545316,1545316,1385477,1362027,1298311,1298311,1298311,1298311,1270137,1270137,870137,1346623,1346923,1352849,1365000
"Cacao","....Davao Oriental",33220,33220,33220,33220,30845,40001,54844,58463,57859,57859,57859,66384,66384,71766,245393,338425,338425,338425,338425,338425,338425,338425,338425,338425,358805,359567,361918,362168,364657
"Cacao","......City of Davao",1094990,1080600,1058080,1058080,1081058,1036025,1036025,1041309,1049639,1049639,1049639,1049639,792300,586600,549290,549290,546744,538384,523384,523384,522928,540792,545258,551558,751675,1071412,1084432,1290932,1761445
"Cacao","..REGION XII (SOCCSKSARGEN)",132160,127850,127890,140257,130943,197862,196034,196276,119143,119143,119143,119143,105350,103629,85877,75569,66579,59508,57519,53594,52901,52041,53130,55245,63125,65425,65101,84707,111092
"Cacao","....Cotabato",51820,48720,48720,48650,48164,44504,46464,46464,37171,37171,37171,37171,37500,37000,23529,13560,10185,6800,5250,4175,4050,3700,4500,6500,10000,12000,11800,28500,46260
"Cacao","....Sarangani",..,..,..,19167,19167,19500,19500,19792,19792,19792,19792,19792,17200,17200,13019,15300,15300,15300,15000,14400,13500,12800,12505,12500,12450,12500,12400,12425,20000
"Cacao","....Sultan Kudarat",45170,44430,44470,44540,35632,107598,104370,104370,36530,36530,36530,36530,25000,25000,24900,23920,18755,17125,16986,14736,14105,12250,12250,12250,16200,16450,16450,19050,20100
"Cacao","....South Cotabato",35170,34700,34700,27900,27980,26260,25700,25650,25650,25650,25650,25650,25650,24429,24429,22789,22339,20283,20283,20283,21246,23291,23875,23995,24475,24475,24451,24732,24732
"Cacao","..REGION XIII (CARAGA)",273230,266450,266010,265930,253464,253000,385987,336030,335030,335650,282808,277658,260459,259535,254088,253670,252190,252850,237755,237255,232505,226705,213220,206161,209661,210666,214425,218408,219473
"Cacao","....Agusan del Norte",112880,110370,110370,110370,110370,110168,110168,110000,110000,110000,103000,97850,95850,98850,100000,100200,100190,100950,90000,89500,87000,84500,25000,17941,17941,17941,19479,19488,19488
"Cacao","....Agusan del Sur",71460,69260,69260,69250,51938,51843,152450,106830,106830,106830,64098,64098,57609,54805,53708,53170,51700,51600,50955,50955,48705,48705,115000,115000,115000,116000,116000,120200,120200
"Cacao","....Dinagat Islands",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3536,3500,3475,3475,3200,4200
"Cacao","....Surigao del Norte",51040,49470,49460,49460,49460,49369,49369,45200,45200,45820,43710,43710,42000,41500,36000,36000,36000,36000,36000,36000,36000,32800,37720,34184,37720,37700,37700,37700,37700
"Cacao","....Surigao del Sur",37850,37350,36920,36850,41697,41621,74000,74000,73000,73000,72000,72000,65000,64380,64380,64300,64300,64300,60800,60800,60800,60700,35500,35500,35500,35550,37771,37820,37885
"Cacao","..AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)",102450,97890,97260,96540,96054,94759,94759,93278,95377,95379,95417,94917,98498,92181,87571,84026,115423,95396,90391,89491,87201,84891,82721,81161,80286,79151,78851,75280,75275
"Cacao","....Basilan",8630,8530,7980,7980,8259,8259,8259,8259,8260,8262,8300,8300,8051,8051,8051,8051,8051,8051,8051,8051,8051,8051,8051,8051,8051,8051,8051,5000,5000
"Cacao","....Lanao del Sur",56250,53150,53080,52350,51303,50254,50254,48746,50656,50656,50656,50656,50656,46798,42376,39100,70500,50600,45600,45600,45600,45600,45600,45600,45600,45650,45720,45720,45730
"Cacao","....Maguindanao",9530,8500,8500,8500,8502,8328,8328,8328,8661,8661,8661,8161,8161,8054,8000,7670,7667,7540,7540,7540,6850,5590,4470,3960,3585,3450,3350,3250,3295
"Cacao","....Sulu",28040,27710,27700,27710,27990,27418,27418,27445,27300,27300,27300,27300,27380,27400,27400,27400,27400,27400,27400,26500,25000,24000,23000,22000,21500,20500,20250,19850,19800
"Cacao","....Tawi-tawi",..,..,..,..,..,500,500,500,500,500,500,500,4250,1878,1744,1805,1805,1805,1800,1800,1700,1650,1600,1550,1550,1500,1480,1460,1450
"Cashew","PHILIPPINES",3178109,3190984,3220096,3222486,3487692,3544572,3572751,3575816,3576582,3575290,3535743,3535499,3520050,3516080,3516314,3522996,3495138,3496379,3491813,3480231,3783210,3775938,3766146,3760225,3756086,3754550,3751658,3744857,3742669
"Cashew","..CORDILLERA ADMINISTRATIVE REGION (CAR)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,275,288,288,295,295,260,220,200,200,105,105
"Cashew","....Abra",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Cashew","....Apayao",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Cashew","....Benguet",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Cashew","....Ifugao",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Cashew","....Kalinga",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,275,288,288,295,295,260,220,200,200,105,105
"Cashew","....Mountain Province",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Cashew","..REGION I (ILOCOS REGION)",91250,91300,91700,90096,90207,86955,85045,77370,77370,77370,69553,69553,69553,69553,69553,69553,69353,68965,68425,68411,67945,67573,67579,67697,65629,65526,65417,65417,65039
"Cashew","....Ilocos Norte",1550,1600,2000,2700,2997,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3300,3000,2500,2200,1820,1700,1700,1700,1711,1711,1711,1711,1711
"Cashew","....Ilocos Sur",4500,4500,4500,2000,2000,2055,2055,2055,2055,2055,1883,1883,1883,1883,1883,1883,1883,1795,1795,1795,1795,1632,1592,1590,1590,1496,1387,1387,1387
"Cashew","....La Union",..,..,..,..,..,..,310,315,315,315,320,320,320,320,320,320,320,320,330,330,330,330,330,450,450,441,441,441,441
"Cashew","....Pangasinan",85200,85200,85200,85396,85210,81400,79180,71500,71500,71500,63850,63850,63850,63850,63850,63850,63850,63850,63800,64086,64000,63911,63957,63957,61878,61878,61878,61878,61500
"Cashew","..REGION II (CAGAYAN VALLEY)",945,2743,3103,4164,4671,5106,5134,5134,5134,5134,5442,5442,5446,4775,4775,4775,4775,4006,3921,3921,3621,3348,3490,3177,3177,2761,2375,2147,2127
"Cashew","....Batanes",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Cashew","....Cagayan",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Cashew","....Isabela",945,943,943,943,1450,1452,1480,1480,1480,1480,1788,1788,1792,1121,1121,1121,1121,1121,1121,1121,1121,848,990,990,990,990,990,1005,1005
"Cashew","....Nueva Vizcaya",..,1800,2160,3221,3221,3654,3654,3654,3654,3654,3654,3654,3654,3654,3654,3654,3654,2885,2800,2800,2500,2500,2500,2187,2187,1771,1385,1142,1122
"Cashew","....Quirino",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Cashew","..REGION III (CENTRAL LUZON)",191445,210050,230613,230849,219771,228533,242826,243824,243877,245172,210005,210005,207940,205735,207660,217415,198233,203758,201949,201073,206846,201716,193286,190156,189358,189124,187088,180457,179638
"Cashew","....Aurora",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Cashew","....Bataan",..,..,..,..,37912,45835,108783,108783,108707,108707,98600,98600,98600,98600,99600,99600,99600,99200,99200,99200,99200,94000,86000,83000,82300,82500,82500,76339,76339
"Cashew","....Bulacan",340,400,595,595,651,744,2125,2655,2655,3540,3540,3540,3540,3540,4750,4750,6250,4700,4347,3586,3480,3550,3470,3470,3470,3470,3470,3500,3470
"Cashew","....Nueva Ecija",170250,189300,210600,210600,159519,158016,111650,111650,111650,111650,86590,86590,84520,84520,84520,90000,69318,69318,69300,69300,67866,67866,67866,67866,67800,67366,65330,64830,64830
"Cashew","....Pampanga",275,200,200,230,250,250,250,275,290,295,295,295,300,310,310,310,310,310,310,310,300,300,150,150,150,150,150,150,75
"Cashew","....Tarlac",1080,1350,1418,1424,1418,1418,1418,1461,1475,1480,1480,1480,1480,1480,1480,1480,1480,1480,1480,1480,1500,1500,1300,1400,1368,1368,1368,1368,1368
"Cashew","....Zambales",19500,18800,17800,18000,20021,22270,18600,19000,19100,19500,19500,19500,19500,17285,17000,21275,21275,28750,27312,27197,34500,34500,34500,34270,34270,34270,34270,34270,33556
"Cashew","..REGION IV-A (CALABARZON)",20003,19703,19059,19003,24037,30736,13396,12897,12896,11894,12393,12393,12688,12687,12698,12498,5890,4159,3230,3221,3376,3340,3455,3385,3383,3533,3533,3538,3325
"Cashew","....Batangas",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,200,160,..,..,..,150,150,155,155
"Cashew","....Cavite",3470,3470,3470,3470,3470,3470,3420,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2570,2570,2570,2570,2570,2570,2500,2500,2500,2500,2500,2500
"Cashew","....Laguna",80,80,80,80,85,85,85,77,77,75,75,75,70,70,68,68,60,60,56,50,45,50,60,60,60,60,60,60,60
"Cashew","....Quezon",25,25,25,24,22,21,21,20,19,19,18,18,18,17,30,30,30,29,29,26,26,25,25,25,23,23,23,23,23
"Cashew","....Rizal",16428,16128,15484,15429,20460,27160,9870,10000,10000,9000,9500,9500,9800,9800,9800,9600,3000,1500,575,575,535,535,800,800,800,800,800,800,587
"Cashew","..MIMAROPA REGION",2697877,2697877,2697877,2697877,2968707,3010783,3081456,3091158,3104158,3104158,3084158,3084158,3084158,3084158,3104774,3104774,3104899,3105615,3106000,3106250,3406815,3407258,3407525,3407585,3408894,3409294,3410064,3411370,3411299
"Cashew","....Marinduque",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Cashew","....Occidental Mindoro",3500,3500,3500,3500,3815,4158,4158,4158,4158,4158,4158,4158,4158,4158,4324,4324,4449,5115,5500,5650,6015,6458,6725,6785,7394,7394,7564,8520,7699
"Cashew","....Oriental Mindoro",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,400,400,400,400
"Cashew","....Palawan",2694377,2694377,2694377,2694377,2964892,3006625,3077298,3087000,3100000,3100000,3080000,3080000,3080000,3080000,3100450,3100450,3100450,3100500,3100500,3100600,3400800,3400800,3400800,3400800,3401500,3401500,3402100,3402450,3403200
"Cashew","....Romblon",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Cashew","..REGION V (BICOL REGION)",775,670,662,646,625,626,573,549,521,520,420,380,355,355,359,361,352,343,343,343,343,343,343,343,373,373,375,375,375
"Cashew","....Albay",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Cashew","....Camarines Norte",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Cashew","....Camarines Sur",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Cashew","....Catanduanes",15,20,20,25,25,26,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
