"Palay and Corn: Volume of Production by Ecosystem/Croptype, by Quarter, by Semester, by Region and by Province, 1987-2019 by Ecosystem/Croptype, Geolocation, Year and Period"

"Ecosystem/Croptype","Geolocation","1987 Quarter 1","1987 Quarter 2","1987 Semester 1","1987 Quarter 3","1987 Quarter 4","1987 Semester 2","1987 Annual","1988 Quarter 1","1988 Quarter 2","1988 Semester 1","1988 Quarter 3","1988 Quarter 4","1988 Semester 2","1988 Annual","1989 Quarter 1","1989 Quarter 2","1989 Semester 1","1989 Quarter 3","1989 Quarter 4","1989 Semester 2","1989 Annual","1990 Quarter 1","1990 Quarter 2","1990 Semester 1","1990 Quarter 3","1990 Quarter 4","1990 Semester 2","1990 Annual","1991 Quarter 1","1991 Quarter 2","1991 Semester 1","1991 Quarter 3","1991 Quarter 4","1991 Semester 2","1991 Annual","1992 Quarter 1","1992 Quarter 2","1992 Semester 1","1992 Quarter 3","1992 Quarter 4","1992 Semester 2","1992 Annual","1993 Quarter 1","1993 Quarter 2","1993 Semester 1","1993 Quarter 3","1993 Quarter 4","1993 Semester 2","1993 Annual","1994 Quarter 1","1994 Quarter 2","1994 Semester 1","1994 Quarter 3","1994 Quarter 4","1994 Semester 2","1994 Annual","1995 Quarter 1","1995 Quarter 2","1995 Semester 1","1995 Quarter 3","1995 Quarter 4","1995 Semester 2","1995 Annual","1996 Quarter 1","1996 Quarter 2","1996 Semester 1","1996 Quarter 3","1996 Quarter 4","1996 Semester 2","1996 Annual","1997 Quarter 1","1997 Quarter 2","1997 Semester 1","1997 Quarter 3","1997 Quarter 4","1997 Semester 2","1997 Annual","1998 Quarter 1","1998 Quarter 2","1998 Semester 1","1998 Quarter 3","1998 Quarter 4","1998 Semester 2","1998 Annual","1999 Quarter 1","1999 Quarter 2","1999 Semester 1","1999 Quarter 3","1999 Quarter 4","1999 Semester 2","1999 Annual","2000 Quarter 1","2000 Quarter 2","2000 Semester 1","2000 Quarter 3","2000 Quarter 4","2000 Semester 2","2000 Annual","2001 Quarter 1","2001 Quarter 2","2001 Semester 1","2001 Quarter 3","2001 Quarter 4","2001 Semester 2","2001 Annual","2002 Quarter 1","2002 Quarter 2","2002 Semester 1","2002 Quarter 3","2002 Quarter 4","2002 Semester 2","2002 Annual","2003 Quarter 1","2003 Quarter 2","2003 Semester 1","2003 Quarter 3","2003 Quarter 4","2003 Semester 2","2003 Annual","2004 Quarter 1","2004 Quarter 2","2004 Semester 1","2004 Quarter 3","2004 Quarter 4","2004 Semester 2","2004 Annual","2005 Quarter 1","2005 Quarter 2","2005 Semester 1","2005 Quarter 3","2005 Quarter 4","2005 Semester 2","2005 Annual","2006 Quarter 1","2006 Quarter 2","2006 Semester 1","2006 Quarter 3","2006 Quarter 4","2006 Semester 2","2006 Annual","2007 Quarter 1","2007 Quarter 2","2007 Semester 1","2007 Quarter 3","2007 Quarter 4","2007 Semester 2","2007 Annual","2008 Quarter 1","2008 Quarter 2","2008 Semester 1","2008 Quarter 3","2008 Quarter 4","2008 Semester 2","2008 Annual","2009 Quarter 1","2009 Quarter 2","2009 Semester 1","2009 Quarter 3","2009 Quarter 4","2009 Semester 2","2009 Annual","2010 Quarter 1","2010 Quarter 2","2010 Semester 1","2010 Quarter 3","2010 Quarter 4","2010 Semester 2","2010 Annual","2011 Quarter 1","2011 Quarter 2","2011 Semester 1","2011 Quarter 3","2011 Quarter 4","2011 Semester 2","2011 Annual","2012 Quarter 1","2012 Quarter 2","2012 Semester 1","2012 Quarter 3","2012 Quarter 4","2012 Semester 2","2012 Annual","2013 Quarter 1","2013 Quarter 2","2013 Semester 1","2013 Quarter 3","2013 Quarter 4","2013 Semester 2","2013 Annual","2014 Quarter 1","2014 Quarter 2","2014 Semester 1","2014 Quarter 3","2014 Quarter 4","2014 Semester 2","2014 Annual","2015 Quarter 1","2015 Quarter 2","2015 Semester 1","2015 Quarter 3","2015 Quarter 4","2015 Semester 2","2015 Annual","2016 Quarter 1","2016 Quarter 2","2016 Semester 1","2016 Quarter 3","2016 Quarter 4","2016 Semester 2","2016 Annual","2017 Quarter 1","2017 Quarter 2","2017 Semester 1","2017 Quarter 3","2017 Quarter 4","2017 Semester 2","2017 Annual","2018 Quarter 1","2018 Quarter 2","2018 Semester 1","2018 Quarter 3","2018 Quarter 4","2018 Semester 2","2018 Annual","2019 Quarter 1","2019 Quarter 2","2019 Semester 1","2019 Quarter 3","2019 Quarter 4","2019 Semester 2","2019 Annual"
"Irrigated Palay","..REGION IX (ZAMBOANGA PENINSULA)",71139.00,29216.00,100355.00,21135.00,64148.00,85283.00,185638.00,76314.00,37514.00,113828.00,43581.00,58018.00,101599.00,215427.00,90446.00,33494.00,123940.00,42169.00,73521.00,115690.00,239630.00,68214.00,25259.00,93473.00,39603.00,81893.00,121496.00,214969.00,74826.00,21413.00,96239.00,44212.00,80225.00,124437.00,220676.00,78769.00,13101.00,91870.00,38279.00,53720.00,91999.00,183869.00,75972.00,24867.00,100839.00,45751.00,53978.00,99729.00,200568.00,71674.00,30358.00,102032.00,56208.00,49604.00,105812.00,207844.00,65229.00,37662.00,102891.00,75128.00,38071.00,113199.00,216090.00,84108.00,40798.00,124906.00,55616.00,45736.00,101352.00,226258.00,67125.00,37632.00,104757.00,57556.00,83495.00,141051.00,245808.00,50970.00,18743.00,69713.00,18434.00,74332.00,92766.00,162479.00,60906.00,30778.00,91684.00,61883.00,60463.00,122346.00,214030.00,85632.00,55102.00,140734.00,84677.00,76316.00,160993.00,301727.00,63974.00,53113.00,117087.00,91357.00,78238.00,169595.00,286682.00,90041.00,54469.00,144510.00,104641.00,88055.00,192696.00,337206.00,85496.00,56331.00,141827.00,104573.00,98032.00,202605.00,344432.00,90376.00,64999.00,155375.00,102941.00,92965.00,195906.00,351281.00,98623.00,52747.00,151370.00,117102.00,102244.00,219346.00,370716.00,106027.00,58055.00,164082.00,97808.00,83416.00,181224.00,345306.00,102720.00,47309.00,150029.00,105021.00,105196.00,210217.00,360246.00,106422.00,51681.00,158103.00,121165.00,95568.00,216733.00,374836.00,107892.00,50845.00,158737.00,122371.00,102035.00,224406.00,383143.00,97128.00,60150.00,157278.00,114071.00,105254.00,219325.00,376603.00,121512.00,57639.00,179151.00,151140.00,78454.00,229594.00,408745.00,127687.00,59195.00,186882.00,136163.00,78306.00,214469.00,401351.00,123552.00,60007.00,183559.00,140288.00,85691.00,225979.00,409538.00,135931.00,53983.00,189914.00,138742.00,95444.00,234186.00,424100.00,126295.00,57802.00,184097.00,111357.00,129368.00,240725.00,424822.00,104262.00,50579.40,154841.40,141567.00,85368.00,226935.00,381776.40,144265.00,72457.00,216722.00,140612.00,96201.00,236813.00,453535.00,138724.00,64196.00,202920.00,128655.41,114421.22,243076.63,445996.63,126602.12,..,..,..,..,..,..
"Irrigated Palay","....Zamboanga del Norte",3134.00,821.00,3955.00,2029.00,15895.00,17924.00,21879.00,4997.00,1943.00,6940.00,3085.00,6975.00,10060.00,17000.00,9347.00,2062.00,11409.00,3121.00,24739.00,27860.00,39269.00,10587.00,760.00,11347.00,1992.00,14475.00,16467.00,27814.00,8900.00,595.00,9495.00,4433.00,18268.00,22701.00,32196.00,4537.00,162.00,4699.00,6043.00,8810.00,14853.00,19552.00,6252.00,778.00,7030.00,2030.00,13811.00,15841.00,22871.00,7912.00,1859.00,9771.00,9504.00,14497.00,24001.00,33772.00,11801.00,4321.00,16122.00,16909.00,2911.00,19820.00,35942.00,12890.00,3221.00,16111.00,11339.00,9010.00,20349.00,36460.00,12892.00,3454.00,16346.00,6673.00,20848.00,27521.00,43867.00,15205.00,4312.00,19517.00,1260.00,19352.00,20612.00,40129.00,9623.00,5395.00,15018.00,7385.00,8973.00,16358.00,31376.00,9628.00,9675.00,19303.00,7962.00,14796.00,22758.00,42061.00,11095.00,6838.00,17933.00,11429.00,10980.00,22409.00,40342.00,21241.00,5112.00,26353.00,12850.00,9295.00,22145.00,48498.00,19770.00,2636.00,22406.00,8702.00,12062.00,20764.00,43170.00,14408.00,8300.00,22708.00,10370.00,12168.00,22538.00,45246.00,21138.00,420.00,21558.00,13199.00,12733.00,25932.00,47490.00,20694.00,705.00,21399.00,6048.00,16424.00,22472.00,43871.00,19411.00,2119.00,21530.00,6031.00,15919.00,21950.00,43480.00,15395.00,9844.00,25239.00,21684.00,9341.00,31025.00,56264.00,22229.00,1211.00,23440.00,14592.00,9513.00,24105.00,47545.00,20924.00,274.00,21198.00,10626.00,12088.00,22714.00,43912.00,12194.00,8384.00,20578.00,17691.00,9147.00,26838.00,47416.00,21134.00,3074.00,24208.00,19358.00,7994.00,27352.00,51560.00,22639.00,7716.00,30355.00,18684.00,9890.00,28574.00,58929.00,23211.00,2764.00,25975.00,22025.00,9792.00,31817.00,57792.00,25761.00,3940.00,29701.00,544.00,32416.00,32960.00,62661.00,17838.00,4195.00,22033.00,2391.00,16939.00,19330.00,41363.00,14566.00,6523.00,21089.00,13698.00,22305.00,36003.00,57092.00,20308.00,4627.00,24935.00,15143.46,27632.00,42775.46,67710.46,16605.23,..,..,..,..,..,..
"Irrigated Palay","....Zamboanga del Sur",65780.00,27015.00,92795.00,18239.00,44047.00,62286.00,155081.00,69927.00,31536.00,101463.00,38164.00,44790.00,82954.00,184417.00,76341.00,24978.00,101319.00,36806.00,44352.00,81158.00,182477.00,51923.00,22177.00,74100.00,33369.00,59635.00,93004.00,167104.00,56976.00,17447.00,74423.00,35366.00,54834.00,90200.00,164623.00,66417.00,11166.00,77583.00,28710.00,40195.00,68905.00,146488.00,67067.00,16921.00,83988.00,39339.00,34357.00,73696.00,157684.00,56972.00,26205.00,83177.00,42085.00,30870.00,72955.00,156132.00,46484.00,31591.00,78075.00,54238.00,29122.00,83360.00,161435.00,62404.00,35377.00,97781.00,40211.00,31678.00,71889.00,169670.00,49354.00,32630.00,81984.00,47404.00,55522.00,102926.00,184910.00,31873.00,13747.00,45620.00,16353.00,48124.00,64477.00,110097.00,45797.00,21213.00,67010.00,50018.00,45754.00,95772.00,162782.00,68850.00,40894.00,109744.00,71270.00,57170.00,128440.00,238184.00,47419.00,42377.00,89796.00,74592.00,61120.00,135712.00,225508.00,44005.00,31675.00,75680.00,60830.00,54800.00,115630.00,191310.00,42900.00,36480.00,79380.00,65120.00,58720.00,123840.00,203220.00,47137.00,42399.00,89536.00,59748.00,56907.00,116655.00,206191.00,49308.00,40244.00,89552.00,65142.00,58044.00,123186.00,212738.00,48749.00,42445.00,91194.00,53410.00,42401.00,95811.00,187005.00,48248.00,29942.00,78190.00,63876.00,68164.00,132040.00,210230.00,60883.00,35393.00,96276.00,60617.00,64784.00,125401.00,221677.00,52426.00,41831.00,94257.00,72508.00,66597.00,139105.00,233362.00,52628.00,47901.00,100529.00,78151.00,67627.00,145778.00,246307.00,77045.00,39390.00,116435.00,100032.00,51683.00,151715.00,268150.00,69515.00,45533.00,115048.00,85133.00,53407.00,138540.00,253588.00,64379.00,44283.00,108662.00,83949.00,60223.00,144172.00,252834.00,74760.00,43675.00,118435.00,86497.00,63854.00,150351.00,268786.00,62618.00,47411.00,110029.00,87932.00,62752.00,150684.00,260713.00,59929.00,41478.53,101407.53,108814.00,35924.00,144738.00,246145.53,94824.00,58168.00,152992.00,87740.00,50173.00,137913.00,290905.00,83804.00,48457.00,132261.00,77777.66,59276.01,137053.67,269314.67,81684.24,..,..,..,..,..,..
"Irrigated Palay","....Zamboanga Sibugay",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,19303.00,14056.00,33359.00,27828.00,17559.00,45387.00,78746.00,19410.00,14430.00,33840.00,27671.00,20350.00,48021.00,81861.00,23161.00,12001.00,35162.00,28930.00,18534.00,47464.00,82626.00,22550.00,10137.00,32687.00,32950.00,25032.00,57982.00,90669.00,29976.00,12562.00,42538.00,31980.00,20511.00,52491.00,95029.00,28424.00,12098.00,40522.00,29994.00,15653.00,45647.00,86169.00,23255.00,4105.00,27360.00,34038.00,15839.00,49877.00,77237.00,26092.00,4987.00,31079.00,29302.00,20885.00,50187.00,81266.00,17345.00,11079.00,28424.00,18904.00,21000.00,39904.00,68328.00,25870.00,7143.00,33013.00,27507.00,13016.00,40523.00,73536.00,30353.00,7482.00,37835.00,25208.00,12586.00,37794.00,75629.00,29826.00,4296.00,34122.00,31574.00,12346.00,43920.00,78042.00,31822.00,5132.00,36954.00,22964.00,17790.00,40754.00,77708.00,32242.00,4359.00,36601.00,14521.00,28440.00,42961.00,79562.00,21961.00,3150.87,25111.87,22621.00,25689.00,48310.00,73421.87,29713.00,4668.00,34381.00,31877.00,19888.00,51765.00,86146.00,28193.00,7408.00,35601.00,28129.66,22965.27,51094.93,86695.93,22928.14,..,..,..,..,..,..
"Irrigated Palay","......City of Zamboanga",2225.00,1380.00,3605.00,867.00,4206.00,5073.00,8678.00,1390.00,4035.00,5425.00,2332.00,6253.00,8585.00,14010.00,4758.00,6454.00,11212.00,2242.00,4430.00,6672.00,17884.00,5704.00,2322.00,8026.00,4242.00,7783.00,12025.00,20051.00,8950.00,3371.00,12321.00,4413.00,7123.00,11536.00,23857.00,7815.00,1773.00,9588.00,3526.00,4715.00,8241.00,17829.00,2653.00,7168.00,9821.00,4382.00,5810.00,10192.00,20013.00,6790.00,2294.00,9084.00,4619.00,4237.00,8856.00,17940.00,6944.00,1750.00,8694.00,3981.00,6038.00,10019.00,18713.00,8814.00,2200.00,11014.00,4066.00,5048.00,9114.00,20128.00,4879.00,1548.00,6427.00,3479.00,7125.00,10604.00,17031.00,3892.00,684.00,4576.00,821.00,6856.00,7677.00,12253.00,5486.00,4170.00,9656.00,4480.00,5736.00,10216.00,19872.00,7154.00,4533.00,11687.00,5445.00,4350.00,9795.00,21482.00,5460.00,3898.00,9358.00,5336.00,6138.00,11474.00,20832.00,5492.00,3626.00,9118.00,3133.00,6401.00,9534.00,18652.00,3416.00,2785.00,6201.00,3080.00,6900.00,9980.00,16181.00,5670.00,2299.00,7969.00,3893.00,5356.00,9249.00,17218.00,5627.00,1946.00,7573.00,5811.00,6435.00,12246.00,19819.00,6608.00,2343.00,8951.00,6370.00,4080.00,10450.00,19401.00,6637.00,3150.00,9787.00,5120.00,5460.00,10580.00,20367.00,6889.00,2339.00,9228.00,4826.00,5604.00,10430.00,19658.00,7145.00,2816.00,9961.00,5969.00,5040.00,11009.00,20970.00,6231.00,896.00,7127.00,6390.00,4539.00,10929.00,18056.00,6403.00,2722.00,9125.00,5910.00,4608.00,10518.00,19643.00,6685.00,3106.00,9791.00,6464.00,4319.00,10783.00,20574.00,6708.00,3712.00,10420.00,6081.00,3232.00,9313.00,19733.00,6138.00,2412.00,8550.00,7256.00,4008.00,11264.00,19814.00,5674.00,2092.00,7766.00,8360.00,5760.00,14120.00,21886.00,4534.00,1755.00,6289.00,7741.00,6816.00,14557.00,20846.00,5162.00,3098.00,8260.00,7297.00,3835.00,11132.00,19392.00,6419.00,3704.00,10123.00,7604.63,4547.95,12152.58,22275.58,5384.51,..,..,..,..,..,..
"Irrigated Palay","..REGION X (NORTHERN MINDANAO)",56947.00,29993.00,86940.00,35026.00,126842.00,161868.00,248808.00,62031.00,51603.00,113634.00,38983.00,121961.00,160944.00,274578.00,111138.00,30160.00,141298.00,47097.00,160434.00,207531.00,348829.00,98750.00,24774.00,123524.00,33506.00,177566.00,211072.00,334596.00,98788.00,39979.00,138767.00,46929.00,176114.00,223043.00,361810.00,83513.00,14473.00,97986.00,26896.00,199065.00,225961.00,323947.00,115142.00,30276.00,145418.00,49756.00,200136.00,249892.00,395310.00,85274.00,83712.00,168986.00,70912.00,202848.00,273760.00,442746.00,125122.00,113981.00,239103.00,73640.00,156593.00,230233.00,469336.00,114310.00,105013.00,219323.00,80696.00,105984.00,186680.00,406003.00,104109.00,87113.00,191222.00,68450.00,112498.00,180948.00,372170.00,107582.00,83830.00,191412.00,70523.00,131920.00,202443.00,393855.00,113542.00,99623.00,213165.00,100435.00,123903.00,224338.00,437503.00,113282.00,113569.00,226851.00,96241.00,138703.00,234944.00,461795.00,108920.00,142893.00,251813.00,76586.00,156348.00,232934.00,484747.00,110927.00,115074.00,226001.00,63282.00,195252.00,258534.00,484535.00,107848.00,110615.00,218463.00,77505.00,158302.00,235807.00,454270.00,106985.00,104378.00,211363.00,76353.00,139879.00,216232.00,427595.00,104374.00,90410.00,194784.00,80311.00,153206.00,233517.00,428301.00,108149.00,93240.00,201389.00,82789.00,145598.00,228387.00,429776.00,109875.00,106156.00,216031.00,95088.00,154903.00,249991.00,466022.00,118367.00,129464.00,247831.00,101030.00,159078.00,260108.00,507939.00,138687.00,107199.00,245886.00,122119.00,163600.00,285719.00,531605.00,107406.00,113627.00,221033.00,125541.00,189121.00,314662.00,535695.00,135011.00,114748.00,249759.00,122061.00,179291.00,301352.00,551111.00,132153.00,129661.00,261814.00,128935.00,183677.00,312612.00,574426.00,131964.00,134871.00,266835.00,156653.00,186196.00,342849.00,609684.00,163280.00,132400.00,295680.00,164086.00,183348.00,347434.00,643114.00,167489.00,118080.00,285569.00,159478.00,210479.00,369957.00,655526.00,161518.00,98140.00,259658.00,192598.00,195449.00,388047.00,647705.00,172983.00,128328.90,301311.90,171269.00,199502.00,370771.00,672082.90,172770.00,123854.00,296624.00,174478.68,214334.81,388813.49,685437.49,170258.82,..,..,..,..,..,..
"Irrigated Palay","....Bukidnon",25211.00,13069.00,38280.00,17369.00,85212.00,102581.00,140861.00,41682.00,24892.00,66574.00,24738.00,69116.00,93854.00,160428.00,74023.00,7567.00,81590.00,16763.00,125845.00,142608.00,224198.00,61885.00,7764.00,69649.00,12531.00,144202.00,156733.00,226382.00,69899.00,6648.00,76547.00,16586.00,129988.00,146574.00,223121.00,46988.00,5664.00,52652.00,13486.00,139853.00,153339.00,205991.00,80710.00,6000.00,86710.00,16280.00,152855.00,169135.00,255845.00,51069.00,45390.00,96459.00,35604.00,139060.00,174664.00,271123.00,84229.00,53035.00,137264.00,42141.00,89569.00,131710.00,268974.00,77931.00,52761.00,130692.00,37926.00,51436.00,89362.00,220054.00,70537.00,30200.00,100737.00,42186.00,49669.00,91855.00,192592.00,74592.00,29658.00,104250.00,42559.00,58999.00,101558.00,205808.00,81440.00,44896.00,126336.00,64051.00,58090.00,122141.00,248477.00,84021.00,47464.00,131485.00,63690.00,56721.00,120411.00,251896.00,68726.00,62496.00,131222.00,48672.00,56206.00,104878.00,236100.00,68602.00,49454.00,118056.00,43199.00,85988.00,129187.00,247243.00,74020.00,33491.00,107511.00,49724.00,66297.00,116021.00,223532.00,67564.00,32042.00,99606.00,48473.00,64471.00,112944.00,212550.00,66063.00,31277.00,97340.00,52472.00,74096.00,126568.00,223908.00,68812.00,33949.00,102761.00,54280.00,75400.00,129680.00,232441.00,66970.00,39296.00,106266.00,67644.00,79320.00,146964.00,253230.00,76963.00,60411.00,137374.00,65305.00,76720.00,142025.00,279399.00,101070.00,41691.00,142761.00,88882.00,75592.00,164474.00,307235.00,73310.00,49540.00,122850.00,90634.00,98110.00,188744.00,311594.00,89175.00,52493.00,141668.00,90555.00,89796.00,180351.00,322019.00,93102.00,56095.00,149197.00,94689.00,96555.00,191244.00,340441.00,91865.00,57437.00,149302.00,100512.00,114676.00,215188.00,364490.00,111032.00,67636.00,178668.00,102465.00,105684.00,208149.00,386817.00,114192.00,54276.00,168468.00,103374.00,124512.00,227886.00,396354.00,113123.00,34521.00,147644.00,132148.00,109593.00,241741.00,389385.00,116569.00,63496.00,180065.00,115095.00,115446.00,230541.00,410606.00,115208.00,63730.00,178938.00,117429.28,124539.57,241968.85,420906.85,115337.00,..,..,..,..,..,..
"Irrigated Palay","....Camiguin",115.00,945.00,1060.00,648.00,933.00,1581.00,2641.00,775.00,282.00,1057.00,426.00,1184.00,1610.00,2667.00,418.00,425.00,843.00,1174.00,164.00,1338.00,2181.00,650.00,414.00,1064.00,886.00,81.00,967.00,2031.00,170.00,795.00,965.00,1000.00,42.00,1042.00,2007.00,184.00,337.00,521.00,96.00,37.00,133.00,654.00,201.00,303.00,504.00,1038.00,38.00,1076.00,1580.00,586.00,780.00,1366.00,328.00,638.00,966.00,2332.00,413.00,549.00,962.00,838.00,851.00,1689.00,2651.00,533.00,405.00,938.00,548.00,480.00,1028.00,1966.00,475.00,692.00,1167.00,538.00,573.00,1111.00,2278.00,425.00,540.00,965.00,360.00,460.00,820.00,1785.00,470.00,546.00,1016.00,884.00,596.00,1480.00,2496.00,368.00,666.00,1034.00,505.00,589.00,1094.00,2128.00,390.00,612.00,1002.00,531.00,280.00,811.00,1813.00,268.00,506.00,774.00,169.00,580.00,749.00,1523.00,193.00,675.00,868.00,269.00,546.00,815.00,1683.00,221.00,646.00,867.00,228.00,628.00,856.00,1723.00,227.00,664.00,891.00,182.00,498.00,680.00,1571.00,211.00,802.00,1013.00,295.00,631.00,926.00,1939.00,165.00,906.00,1071.00,203.00,792.00,995.00,2066.00,118.00,977.00,1095.00,284.00,897.00,1181.00,2276.00,224.00,866.00,1090.00,329.00,850.00,1179.00,2269.00,238.00,919.00,1157.00,241.00,821.00,1062.00,2219.00,292.00,875.00,1167.00,232.00,966.00,1198.00,2365.00,270.00,1011.00,1281.00,273.00,907.00,1180.00,2461.00,265.00,1015.00,1280.00,307.00,941.00,1248.00,2528.00,269.00,1033.00,1302.00,221.00,1048.00,1269.00,2571.00,278.00,1036.00,1314.00,253.00,1053.00,1306.00,2620.00,189.00,919.00,1108.00,155.00,894.00,1049.00,2157.00,541.00,743.00,1284.00,279.00,423.00,702.00,1986.00,265.00,1078.00,1343.00,331.60,664.00,995.60,2338.60,259.30,..,..,..,..,..,..
"Irrigated Palay","....Lanao del Norte",15776.00,11169.00,26945.00,9593.00,21699.00,31292.00,58237.00,8862.00,13845.00,22707.00,2638.00,33389.00,36027.00,58734.00,21459.00,11183.00,32642.00,14965.00,16756.00,31721.00,64363.00,18354.00,8596.00,26950.00,10391.00,18837.00,29228.00,56178.00,13495.00,19984.00,33479.00,18147.00,25711.00,43858.00,77337.00,21478.00,1113.00,22591.00,5482.00,41071.00,46553.00,69144.00,20801.00,16771.00,37572.00,18886.00,36580.00,55466.00,93038.00,19140.00,23709.00,42849.00,18040.00,43576.00,61616.00,104465.00,21330.00,44480.00,65810.00,17032.00,43626.00,60658.00,126468.00,24360.00,28164.00,52524.00,15371.00,41076.00,56447.00,108971.00,15578.00,39789.00,55367.00,11472.00,44634.00,56106.00,111473.00,11733.00,43200.00,54933.00,15520.00,55040.00,70560.00,125493.00,15719.00,43031.00,58750.00,14650.00,39309.00,53959.00,112709.00,13554.00,54494.00,68048.00,14336.00,48517.00,62853.00,130901.00,23589.00,60606.00,84195.00,12287.00,70972.00,83259.00,167454.00,22449.00,49494.00,71943.00,8225.00,84037.00,92262.00,164205.00,13209.00,61461.00,74670.00,12319.00,71857.00,84176.00,158846.00,15498.00,54684.00,70182.00,12126.00,53180.00,65306.00,135488.00,14000.00,42780.00,56780.00,12188.00,55326.00,67514.00,124294.00,14364.00,41554.00,55918.00,11764.00,45259.00,57023.00,112941.00,22680.00,42099.00,64779.00,11360.00,49037.00,60397.00,125176.00,16710.00,49054.00,65764.00,13683.00,52592.00,66275.00,132039.00,15465.00,45567.00,61032.00,9862.00,54649.00,64511.00,125543.00,11694.00,44580.00,56274.00,12992.00,55528.00,68520.00,124794.00,23466.00,37806.00,61272.00,14483.00,54330.00,68813.00,130085.00,20125.00,44880.00,65005.00,13548.00,55782.00,69330.00,134335.00,18618.00,49877.00,68495.00,30676.00,43773.00,74449.00,142944.00,31836.00,39291.00,71127.00,26359.00,50698.00,77057.00,148184.00,33801.00,37533.00,71334.00,21218.00,58674.00,79892.00,151226.00,27493.00,40630.85,68123.85,28307.00,60906.00,89213.00,157336.85,32005.00,40511.90,72516.90,25769.00,60714.00,86483.00,158999.90,32946.00,35341.00,68287.00,25754.80,65272.74,91027.54,159314.54,34097.52,..,..,..,..,..,..
"Irrigated Palay","....Misamis Occidental",10420.00,2685.00,13105.00,5569.00,8192.00,13761.00,26866.00,6119.00,7206.00,13325.00,7976.00,8644.00,16620.00,29945.00,9254.00,5588.00,14842.00,9370.00,6959.00,16329.00,31171.00,8886.00,4413.00,13299.00,6856.00,6601.00,13457.00,26756.00,7841.00,7492.00,15333.00,7118.00,8020.00,15138.00,30471.00,10602.00,3083.00,13685.00,4832.00,9323.00,14155.00,27840.00,10250.00,3232.00,13482.00,9163.00,3038.00,12201.00,25683.00,10890.00,10883.00,21773.00,11760.00,13000.00,24760.00,46533.00,16030.00,13205.00,29235.00,9069.00,15325.00,24394.00,53629.00,8100.00,19800.00,27900.00,22050.00,6242.00,28292.00,56192.00,13889.00,13008.00,26897.00,9500.00,12300.00,21800.00,48697.00,17010.00,7605.00,24615.00,8400.00,12789.00,21189.00,45804.00,12675.00,6600.00,19275.00,15302.00,18600.00,33902.00,53177.00,12164.00,7111.00,19275.00,12110.00,27338.00,39448.00,58723.00,11951.00,15180.00,27131.00,9732.00,23188.00,32920.00,60051.00,15392.00,10854.00,26246.00,5880.00,18263.00,24143.00,50389.00,16506.00,10302.00,26808.00,9245.00,14244.00,23489.00,50297.00,18818.00,11918.00,30736.00,9302.00,16166.00,25468.00,56204.00,19296.00,10973.00,30269.00,9872.00,16726.00,26598.00,56867.00,19642.00,11803.00,31445.00,10479.00,17336.00,27815.00,59260.00,14600.00,18802.00,33402.00,9400.00,17823.00,27223.00,60625.00,19800.00,13022.00,32822.00,15050.00,20319.00,35369.00,68191.00,17410.00,13242.00,30652.00,16267.00,23220.00,39487.00,70139.00,18010.00,13471.00,31481.00,16747.00,24040.00,40787.00,72268.00,17459.00,17473.00,34932.00,12497.00,24147.00,36644.00,71576.00,14532.00,20661.00,35193.00,15218.00,21859.00,37077.00,72270.00,17201.00,19430.00,36631.00,20551.00,18295.00,38846.00,75477.00,16234.00,18004.00,34238.00,30212.00,16993.00,47205.00,81443.00,15100.00,18517.00,33617.00,30763.00,17399.00,48162.00,81779.00,16888.00,17459.00,34347.00,27612.00,16644.00,44256.00,78603.00,18003.00,18238.00,36241.00,24003.00,16982.00,40985.00,77226.00,18645.00,18595.00,37240.00,24234.00,17632.50,41866.50,79106.50,14615.00,..,..,..,..,..,..
